Ivica Boneš
Vasilije Černela
Nikša Sheikha
Tunjo Andruščišen
Seid Zigmund
Ivan Marijan Blas
Qazim Drkušić
Feliks Sopa
Leo Žakoc
Maše Pankas
Srčan Lapanje
Maximilian Darovec
Aladin Berdavs
Anes Osrajnik
František Šutej
Boris Janez Aljiti
Isidor Priteržnik
Argjend Kajič
Nuradin Bregar
Antonio Bolčevič
Halil Breskoč
Fric Hramec
Renaldo Kosl
Zlatibor Čurković
Mladen Lušin
Selmo Švorc
Stevan Matika
Jurček Okrogar
Samo Gregorač
Johan Vene
Anastazij Škrlin
Urban Žumbergar
Mare Bihar
Stipo Berkovič
Arton Činej
Jožef Aleksander Oliverović
Rama Golik
Valerij Anders
Bine Palčič
Jesenko Poljan
Bećo Blejec
Kiril Stančev
Hamit Šlebir
Bojan Franc Fatur
Daniele Šlebir
Javor Begovič
Nado Matoh
Rene Hertarić
Merzuk Lukacs
Matjaž Žiger
Tihomir Bahat
Janez Andrej Zarnik
Niko Zorzut
Zmago Božank
Federico Lojen
Steven Penček
Boris Jožef Osmankić
Nicholas Jagodic
Zahid Krenčan
Ožbolt Francetić
Timothy Bezić
Fortunat Šušter
Nestor Radenović
Božidar Darko Prhavec
Huska Benedičič
Želimir Gluvić
Shaip Podhraški
Čedomir Raztresen
Stanislav Ivan Sova
Rizan Robinig
Vedat Petkovšek
Mihael Blagović
Nal Kuna
Himzo Gligorov
Đemal Hedžić
Ilijaz Mrkun
Semko Zakotnik
Edvard Franc Moederndorfer
Marjan Matevž Grgorović
Hajrudin Černalogar
Timon Ovidoni
Marij Ulen
Jane Kesar
Toma Zabret
Draženko Tičar
Besim Kokošin
Saši Kmecl
Bešir Zuodar
Alojz Andrej Ilijevski
Esmir Brezic
Esperij Kusur
Timej Voušek
Hamdi Čavž
Razim Janžovnik
Joce Kaič
Mik Podbornik
Jožef Karol Sopotnik
Sretko Golob
Stanislav Franc Veler
Andjelko Prerad
Ljubiša Tinko
Demir Golar
Narsej Heričko
Ernst Milojčić
Selami Cvetanov
Sherif Hadolin
Ernesto Melinec
Damir Šaula
Ezio Tržan
Norbert Ule
Mihael Polovšek
Šani Krajzler
Brano Kamber
Anton Zvonko Soklič
Marino Veger
Demir Panter
Milijan Kirjaković
Abdulah Jeger
Adem Zlojutro
Serđo Šilak
Tarik Glažer
Sheremet Tomljenović
Slavko Alojzij Mevec
Evstahij Voldrih
Janez Alojzij Struger
Taulant Baruca
Žiga Janet
Kurt Slugič
Dragić Felle
Sevad Behar
Boleslav Rivo
Fredy Kučina
Jani Mitkovski
Šaćir Joh
Mustaf Raker
Lucijano Lazukić
Zijad Ramoveš
Roland Mehmetaj
Peter Anton Škudnik
Boštjan Trantura
Rastislav Šoltes
Sadri Rob
Lorenc Vejzović
Dmitar Čekon
Faredin Trol
Dejvi Deanović
Staš Visković
Budimir Peškir
Hamza Fludernik
Milinko Nadlučnik
Kajtimir Drožina
Sven Seči
Živko Bekiroska
Muslija Rupar
Savel Sokalič
Vilmos Kure
Svetko Posnic
Maksi Saviozzi
Mel Sovič
Giuseppe Grzinčič
Draško Krašovc
Ruggero Taljan
Baltazar Grabas
Mihec Olstrak
Ismar Ciringer
Kim Britovšek
Luka Martin Matešič
Borisav Bogunović
Lutfi Di Bon
Radojko Regoršek
Januš Prhne
Misin Gerčer
Dedo Trope
Janž Terbos
Jan Luka Borjanić
Semiz Maloča
Sandor Jalševac
Mićo Vidojković
Oreste Jakopovič
Cristian Mirč
Kirčo Tasič
Časlav Čerič
Qerim Markošek
Stipan Kelih
Sekula Jukič
Arian Osmanoski
Novo Šimunović
Uzejr Podobnik
Gazmend Cvenkelj
Đorđa Kantužar
Cvijetin Antler
Milodrag Pirher
Merfin Šeter
Silvio Bistan
Vasjan Čopar
Rustem Šašić
Ferdo Rupert
Marijan Jože Mrđa
Mejdi Našić
Viliam Mirošničenko
Muslija Gregorek
Agon Štorga
Dašo Timpran
Ciril Janez Kelbič
Ante Grahel
Kadir Latković
Alojzij Rajer
Miralem Kalčič
Bešir Vogelnik
Maik Buč
Maksimilijan Levai
Kastriot Voljkar
Zikrija Smajilagić
Nedžat Malok
Tian Kardašević
Ferat Šećerović
Vojteh Mozina
Arnold Koznicov
Franci Žuštovič
Argjend Ovidoni
Gašpar Skerbiš
Andrejček Manojlović
Mitja Franc Malačič
Stipo Ramadanoski
Spase Bencek
Bogumil Belušič
Marjo Šećić
Šimen Bavrk
Zdravko Valentin Gedrih
Adem Košpenda
Mirso Ostojić
Erion Rajh
Dezider Miheu
Dženis Gjorgiev
Anton Pavel Vrečar
Bojan Franc Brilli
Raif Peterkoč
Zuhdija Makivić
Kirčo Bašadur
Dardan Žvorc
Beqir Pirija
Mel Slivnikar
Zmagomir Habl
Marek Šimonić
Teodor Rastočnik
Jožef Štefan Vinšek
Ibrahim Radeka
Said Jarič
Jasminko Okoliš
Sifet Šiljak
Munever Jošić
Jona Žegarac
Elmedin Dautbegović
Emsad Basaj
Mirso Prusnik
Ramon Perkman
Krsta Beguš
Anton Roj
Sherif Canović
Nico Zorn
Bratislav Golub
Namik Nemeth
Tonček Hatemić
Elmir Valussi
Adalbert Jošovc
Milomir Šavor
Joco Smiljanič
Mavricij Menger
Neo Hristov
Umbert Šenica
Nurdin Zavodnik
Shemsi Korsič
Sado Zorčec
Saud Bajlec
Hektor Ivančič
Edgar Gajšt
Hazir Cajnkar
Kostadin Lanjšček
Simeun Coraci
Lari Markučič
Tihomir Jelšnik
Ambrož Cigula
Jona Pregeljc
Kosta Wamberger
Zal Cugelj
Demeter Baškovec
Janej Lojevec
Klement Krček
Nuredin Šikar
Dursum Šmeigl
Rene Goranić
Tjaš Rendulić
Ludvik Frankič
Gracijano Melkić
Musa Čuhalev
Fredy Tapeiner
Timijan Podviz
Francelj Gozdnikar
Elemer Vrviščar
Ramo Postržin
Xhevdet Fiedler
Bedri Blažon
Hase Madžarac
Dragomir Smajilagić
Bor Velca
Neo Juranović
Džemail Šip
Tobia Jurtela
Sali Koderman
Ronald Veliqi
Janez Matija Batarilo
Jakub Bažec
Ahmo Djuzić
Jaka Grašiner
Klemen Arhanič
Noah Čemernik
Svetomir Kustrin
Hamit Pristav
Inti Sušl
Ahmo Brekalo
Til Graovac
Lojzek Ljubelšek
Emil Franc Kolarić
Dule Brujić
Ivan Jože Arčon
Naj Talevski
Miodrag Kecelj
Brahim Gak
Jahir Jurjovič
Muharrem Gracar
Endre Majdanac
Nazmija Dončec
Fidan Goršak
Uzejr Gabron
Domine Moštrokol
Neđo Schuntner
Saško Žebalc
Franc Anton Rankovec
Lajos Calcina
Kostantin Hajsan
Sadmir Klinkon
Anžej Kvasnik
Kancijan Florjan
Zaim Majc
Ismet Senjak
Marijan Franc Radanovič
Massimiliano Zilić
Tjaš Glavan
Aldijan Zakelšek
Ramadan Žoldoš
Veldin Kreačič
Kristan Alt
Rožle Filimonović
Lorenc Navalinski
Anton Stanislav Vogrinc
Baldomir Pastar
Riste Brženda
Bajro Cesnik
Jožef Albin Kisin
Rizvan Karlovič
Jonatan Požauko
Narsej Švegler
Umberto Pavlinc
Lauro Hainc
Andrijan Korpar
Gafur Milivojević
Andrej Stanislav Macun
Kirčo Absec
Janez Ivan Jerinić
Ranislav Blake
Anton Stanislav Ternav
Tristan Mord
Savo Srt
Friderik Mirko Štokovič
Milan Škrbe
Ljuben Pučko
Javier Starkež
Svetko Šišek
Mladenko Ćetojević
Milutin Mugoša
Domin Totić
Alexei Dubrovski
Tony Koblar
Ivan Andrej Vesić
Vidoslav Wagner
Rikardo Jasnić
Hajro Kahne
Suljo Progar
Feliks Kašnik
Janez Matija Belcijan
Joško Ćirić
Tehvid Ćurčić
Siegfried Pornat
Mak Leštan
Marko Andrej Težak
Majk Vidoš
Mitko Ogris
Adem Arabadžija
Riad Biščić
Trojan Glišič
Gilbert Sudaš
Vesel Potočin
Ibraim Šepec
Radivoja Sulja
Salko Posavac
Muhamet Filipovič
Ilčo Jeličič
Loredano Ajeti
Naum Virčič
Nazif Bočnik
Vedran Podpeskar
Halid Orač
Cvijan Rautović
Destan Veronik
Velija Krdžić
Stevan Sučević
Vebija Zaimović
Libero Doležal
Anton Zvonimir Eršte
Vojko Slanič
Veli Libenšek
Ugo Karpe
Đino Žlegel
Selmir Damjenić
Filip Ivan Egrlić
Fuat Strojko
Duško Prestrl
Roman Gržinčić
Nihad Tueške
Franc Janez Hervatič
Isidor Lalič
Robert Peter Bošak
Rinaldo Sfiligoj
Dušan Franc Markač
Nestor Jondić
Ljubomil Katarinčić
Irenej Penčur
Maid Tomazo
Pavel Franc Cerkovnik
Sanel Lajmiš
Husref Škondra
Šimen Šumandl
Matthias Topolinjak
Nijaz Spasić
Shani Bjelonić
Zsolt Berger
Mahir Mihoci
Dime Salihaj
Jenoe Čajo
Ćerim Grat
Slaven Jerenec
Adrijan Šošterič
Nihad Starašinič
Joce Krenk
Medo Gaertner
Djevad Marki
Jordančo Jensterle
Nestor Karačić
Janez Ivan Albiani
Selam Hrkalović
Andrei Ravas
Giuliano Krnel
Alojz Janez Kamnik
Medžid Kuljad
Djoko Hebar
Dominko Koprivšek
Vitjan Mohap
Krste Macuka
Fazli Vusilović
Friderik Miroslav Lasbaher
Aron Viraj
Sejad Mendiževec
Irnes Starovasnik
Anton Jožef Bosotina
Lubomir Zadravec
Pašo Pertič
Žan Šajna
Vili Travnik
Franc Anton Djošan
Andrej Stanislav Kalc
Janez Gregor Gunčer
Sabahudin Sikirić
Tejo Rokavec
Julius Rahonc
Livij Rajzman
Marsel Golanda
Senat Bueček
Radigoj Sekulić
Dobrivoj Šnek
Bastian Elersič
Vasil Lesić
Radislav Stresen
Shefshet Lajmiš
Đurađ Bobaj
Robertino Jelenec
Konrad Freisteiner
Hamza Jurošević
Besart Lošdorfer
Zdravko Valentin Glibota
Denis Gužvić
Šefko Jernej
Rizvan Brentin
Albert Mujčić
Egidio Kajtner
Amel Šon
Mavricijo Fuekaš
Nazmija Bem
Hans Peter Skalicky
Sava Tepić
Ruj Gašparič
Boris Mušeljić
Smajl Lukež
Bekim Cigoj
Samoel Limani
Trajan Pogač
Ernes Renič
Evald Dražić
Karol Drago Weiffenbach
Zikrija Kunstler
Jane Grmadnik
Jožef Marijan Navršnik
Šućo Sović
Anton Stanislav Vasilič
Luka Dundara
Rade Kollar
Serhiy Lubec
Vjekoslav Huhoja
Muamer Caldarone
Resul Šanca
Mihret Egredžija
Džan Čujec
Mersud Vratanar
Peter Franc Božinoski
Đurađ Bohinc
Tofik Gajzler
Andrejas Nježić
Beqir Valdevit
Sabir Rapuš
Refki Kisel
Ivan Anton Štokovac
Ahmo Čerkezović
Jacques Žos
Bruno Švirt
Vidko Jarčič
Vehab Polignone
Anton Frančišek Azazmeh
Vasyl Hercegovac
Vasilija Frančula
Ugo Drašlar
Besmir Kordić
Gabor Hidič
Bratislav Pellegrini
Radan Fangu
Atilij Kamerički
Alessandro Malićević
Šekib Zwitter
Han Ređepi
Kal Puhek
Fidan Zaleznik
Malić Prevec
Burhan Sudar
Vanjo Slobodnjak
Besart Margić
Kaj Valh
Armin Grabenšek
Maj Zagradnik
Laren Cafuk
Nihad Fidel
Irfet Božijak
Hamid Markus
Tinej Dorenčec
Luigi Stauber
Dore Kunstič
Mane Hajnšek
Žolt Ivančov
Fabjan Carotta
Filip Franc Schlauer
Andrei Slemenik
Ljudevit Hlebčar
Robert Bukavec
Narciso Celija
Bronislav Pliško
Suad Krajzler
Edwin Kišek
Braim Škoporc
Husejin Niegelhell
Marjan Jože Jurhar
Samuel Curl
Pavel Jožef Janhuba
Franc Stanislav Lindič
Fejzo Jona
Kian Objedović
Senad Mudrić
Sahit Jovanovič
Rafet Černilogar
Behar Orlov
Viljam Krušelj
Ibraim Komerički
Dragutin Tibaot
Bledar Bajdak
Elvio Čehič
Argjend Podkrižnik
Rian Maljoku
Berto Frič
Mehmed Obrulek
Dino Schreiner
Dag Vašek
Ljupčo Kuzmanič
Stojan Grašič
Rade Jureković
Domine Dolmark
Jusuf Kostadinov
Maksimilijan Slivnikar
Naum Bistričič
Bejadin Šnajdar
Deniz Ilikić
Mirsad Laba
Idris Slavec
Lev Zakarija
Sašo Kalizan
August Skalerič
Georgi Ceklin
Jožef Albin Mostek
Nadir Skenderi
Fehmi Bajrić
Klaudij Kantar
Tomaš Otto
Ivan Marijan Grapulin
Domine Kokec
Hidajet Šteković
Andi Šuša
Tomica Hergan
Haxhi Ventin
Kris Kramer
Tim Mrkić
Mirt Budihna
Ivan Pavel Čekada
Ivan Milan Bozja
Norman Čistar
Nico Črnalogar
Adolf Pratnemer
Mavricijo Plesac
Zehrudin Sajovec
Darjo Tairoska
Bećo Rakonjac
Perparim Kužet
Vebija Kušljan
Durim Blažeković
Božidar Jožef Šojat
Edwin Zupanec
Din Žužej
Samuel Menegatti
Dušan Cvetkovič
Venko Šaljanin
Domagoj Gergyek
Hubert Slakonja
Jožef Marjan Čičerov
Rosando Križovnik
Musa Margetić
Advan Mate
Anton Frančišek Poglovnik
Edward Šebek
Ešef Luketina
Rudolf Vitorović
Halim Kosar
Sergej Šmarčan
Ninoslav Bromše
Vekoslav Korasa
Dimitar Drešar
Johan Krajlah
Tej Fojs
Eldar Bernardič
Vatroslav Čivgin
Franc Boris Košutar
Georgij Prelevšek
Ešef Crnogorac
Fabrizio Palajsa
Emeran Kink
Vojislav Pugliese
Jožef Janez Ozbetič
Mavricijo Crnko
Sava Grutschreiber
Miroslav Jožef Vrbovšek
Aleksa Stanišljević
Etem Merkelj
Ferenc Osmani
Jožef Albin Štedul
Horst Kaluža
Imran Kovačević
Miroslav Anton Dežan
Roger Končnik
Pane Pisić
Attila Štiher
Špendi Kuzmanovski
Vukašin Bulf
Žan Mark Cvetič
Draženko Sirk
Nexhmedin Kaič
Ninko Ostruh
Damir Ravnik
Nikša Makarov
Lutfi Poderžan
Ivor Remiaš
Miguel Šiljegović
Sefer Dašević
Pavlo Fažon
Gabriel Munđar
Voranc Rušič
Perparim Ečimović
Bogoljub Kvalić
Luka Aleksander Korečič
Mufid Messec
Remzo Suljadžić
Elek Svetko
Jakec Tacinger
Marijo Dvizac
Črt Vellacher
Hasib Tajzel
Tedej Vinkšelj
Grujo Ladan
Hamzo Kolšek
Haris Krajči
Bane Haas
Bojko Čemernik
Tino Vitomir
Jaš Vampel
Tom Marašević
Dimitrij Fišakov
Damjan Vaserfal
Peter Anton Žibovt
Dragoja Grilič
Shani Štremfel
Mitja Tacar
Darvin Torić
May Buč
Bogoslav Miličić
Altin Špragar
Maximilian Drnda
Ljubomil Kit
Vojeslav Avramović
Ljubiša Dojer
Boris Andrej Manfredo
Matijaž Nemarnik
Cane Klingsbichl
Vojmir Virčič
Lan Sendić
Horst Šinkovc
Nace Aleksejev
Mykhaylo Burja
Mel Podboj
Tai Gregoršanec
Rafko Ržek
Omar Radovičevič
Mentor Podpečnik
Ivan Jakob Gajski
Alush Moge
Oreste Gabor
Vittorio Jamaković
Ferit Markuljević
Mitja Franc Veronig
Husejin Črče
Rešad Vučkić
Besar Stanar
Risto Demirovič
Hijeronim Demić
Darinko Kloeckl
Janči Vreže
Mersudin Labignan
Dumitru Šipić
Isad Sefić
Roger Vresk
Bahri Kerš
Shkelzen Fendre
Ruggero Andlovic
Jožef Peter Ružić
Tatomir Vornšek
Tihomil Križmanić
Hisni Gašparac
Jožef Dušan Derlink
Anton Jože Gulan
Nik Zbičajnik
Lucijano Sardoč
Vojin Bator
Tomo Lovrec
Fortunat Femić
Agan Friedl
Frančišek Branko Chomicki
Ramo Čakarić
Boris Despinić
Namik Drk
Saše Šlajkovec
Blaženko Baltić
Beno Gjorgiev
Nikodem Kutić
Mihovil Jakš
Noel Juteršnik
Karol Leček
Ugo Mozoli
Nuran Vitasovic
Emanuel Antonin
Nejko Drnolšek
Karolj Velinov
Tenej Turina
Šefko Žarn
Manfred Kuntner
Kazim Botjak
Pino Hoxhaj
Emsad Karapetrić
Jordančo Rumić
Emerik Pečlin
Oliver Sarić
Šaip Popič
Ešef Klen
Mauricij Kacil
Janez Gregor Škvorc
Vaso Malinovsky
Jožko Vujadinovič
Anton Zvonimir Rajšter
Libero Ždral
Gorančo Gičev
Mehmed Jotanović
Steven Štefanec
Rodoljub Stolc
Belmin Verbanac
Miho Plaper
Dario Neralić
Goce Bisaki
Gianfranco Kavkler
Eldis Grejan
Janez Martin Vidoz
Bashkim Ljubotina
Kajetan Protner
Livij Radmelič
Samil Goljevšček
Abdulah Oljačić
Ašim Štrafela
Trajče Godar
Marvin Gredin
Budimir Kozel
Zilhad Paar
Nebojša Friedel
Sretko Pečolar
Kancijan Želinšček
Laci Feist
Igor Janez Delač
Kruno Sešel
Paul Beljić
Momčilo Čorović
Muamer Kanazir
Dželadin Zrnec
Djurica Ropoša
Friderik Jurečič
Mevludin Kelemen
Ljuban Križ
Endrit Blaganje
Pavo Dragšić
Rizo Šrajner
Ozrenko Korkoski
Nedjo Dragič
Fadil Sokler
Ćemal Podjed
Natan Golobinek
Odon Stritar
Ladislav Hasojlić
Eljo Grzina
Rade Cirej
Krešimir Damjanić
Gojmir Bolčević
Devis Pejazić
Asllan Krajšič
Petr Vincoletto
Jaroslav Jeraša
Mijat Pešić
Mitja Franc Petkičić
Nico Peruničić
Radosav Crnalić
Leander Vukajlović
Brian Godnov
Lev Lobnik
Svetislav Alimi
Fabijan Franić
Jan Čajko
Ivan Vladimir Odreitz
Emsud Hercegovac
Pejo Čačilo
Grga Petelin
Fidančo Krutzki
Otto Čižman
Maik Gregorinčić
Ervin Bricl
Silvin Gradečak
Hajdar Demirovski
Selajdin Hernet
Trivo Šertl
Xhelal Reven
Anton Ivan Vuletić
Salim Likavec
Tommy Burnar
Trajko Petrica
Dželal Podhostnik
Pavlo Ozvald
Timi Nošaj
Fatos Polda
Peter Ivan Ljepić
Avdullah Memiš
Srdan Marušek
Žan Jan Vamlek
Remzija Mostek
Mijo Ramuš
Xhavit Štrljič
Sandi Krkač
Silvijo Kozan
Juri Mars
Želimir Lamešić
Deny Virijant
Rosando Kuzma
Marko Jožef Vučajnk
Mohor Kaličanin
Karl Franc Tegeltija
Matija Jožef Škabar
Vidoslav Volovec
Dragan Semlak
Ištvan Verbec
Vukan Namar
Nefad Delašjava
Kai Wiegele
Kostja Klančar
Stanislav Ivan Merdanić
Bono Orlando
Kamilo Jurjovič
Islam Sliško
Džabir Vajzman
Radmilo Zernec
Milko Mirosavljević
Petko Walland
Alis Azemi
Džavid Volk
Nazmi Mejak
Kosta Perhavec
Gosto Fehimović
Vinko Gergjek
Silvio Draškovič
Abdurahman Cvajnar
Djerdj Ludoviko
Jožef Peter Fliser
Samet Svetič
Njegoš Kračun
Imer Ravnihar
Živko Paluc
Franc Mihael Čović
Kristofer Torma
Dragoljub Čermak
Cviko Paar
Blaženko Frkač
Vladislav Suljkanović
Vitaliy Šustar
Himzo Klešnik
Hajrush Zupin
Gentrit Volčanjšek
Vatroslav Miser
Fidančo Homjak
Strahinja Vertelj
Bashkim Dreu
Keni Fatorič
Jakec Koltaj
Valentin Zdravko Marhat
Besart Redl
Nino Ačić
Marjan Šmigl
Francesco Ikovic
Ljubo Pušljar
Viktor Hović
Frančišek Rizoski
Mirvet Paradiž
Eric Vurcer
Flurim Jerman Kuželički
Angelo Hanuna
Emil Ivan Zaić
Nefad Zlokarnik
Armando Memedi
Mehmet Šatan
Suvad Grmšek
Pera Arlič
Mihec Dolinar
Bora Mačkošek
Venco Atlija
Selvedin Pestivšek
Tito Drempetič
Šani Čarni
Mirza Kunstelj
Šandor Škratek
Enej Kerbev
Stamenko Kržan
Avdija Kodila
Geza Mikic
Miodrag Huebl
Mladjen Detelj
Vehbija Kolgeci
Sergije Čalaković
Brin Susman
Martin Darko Cvitanović
Muris Sivonjić
Eldis Veindorfer
Aleksij Xhemaili
Selam Tontić
Dojčin Kamenšek
Tode Žetko
Jago Cvetan
Djulaga Hausvald
Javier Mehagić
Braim Guzzi
Rahman Bukvić
Michele More
Simon Blaž
Dušan Zurc
Davorin Li
Benjamin Vidojević
Bor Pavlova
Jean Štifter
Boriša Honzak
Adam Palovšnik
Adam Mrkaljević
Sali Žvokelj
Avdi Rastovac
Mirsat Sanchez
Jakov Jeklar
Alojzij Anton Bela
Felicijan Markelić
Milan Ivan Ljubišič
Ajhan Đulić
Vasilij Ravmanoski
Jak Mihor
Hajrush Veras
Sabahudin Jerebinšek
Enco Salčnik
Kamilo Mergole
Laste Kosić
Ahac Herblan
Franc Dušan Želodec
Tony Pridgar
Arman Flajšoker
Mitja Janez Zvonar
Gusti Žilič
Gašpar Ivkič
Zdenko Šošterič
Sadet Kraup
Basri Kasalović
Pavel Janez Kasaš
Nikolčo Visintin
Arun Berkenjačević
Teofil Brandić
Dezider Vrbanek
Franc Valentin Maser
Lovrencij Lamut
Bogosav Krofel
Venčeslav Vilar
Zlatibor Oplot
Fredo Repinc
Gustl Presen
Enco Vuser
Anton Andrej Beršnak
Lokman Stančič
Kamil Germadnik
Oton Matavž
Timmy Sikur
Edison Berlan
Jean Giorgiutti
Klavdi Anderluh
Sami Androić
Bogumil Sladek
Freddy Čepić
Vasil Kišić
Živko Kifner
Matyas Šurc
Viki Rotenhajzer
Enver Mužan
Edon Štrakl
Ilo Nezić
Marijan Jožef Ladis
Boštijan Mestnik
Giani Foršek
Faustin Užnik
Milivoje Gerlec
Roger Aplenc
Sejfulah Čikovin
Alessio Rogelja
Ljudovik Zilić
Hari Ozmec
Helmut Makič
Vujadin Trivalić
Ramis Bartolj
Izak Koprivc
Eduardo Černovšek
Anton Silvester Đurkin
Marčel Presterl
Eldar Kurczewski
Golub Žokalj
Darjo Lovrič
Jurij Kosjek
Milivoje Kirhmajer
Bajrush Konjuvci
Vall Bar
Shqipron Komperšak
Đulijano Mikšić
Eduard Haring
Saško Košalin
Bogdan Novalić
Vatroslav Smrečnik
Vide Kobi
Nazif Andreuzzi
Sašo Aleksander Križan
Nebi Spudić
Giuliano Vučeljić
Jerko Schuntner
Reshat Letonje
Muarem Paska
Sergio Bunderšek
Sascha Grobeljnik
Lado Crnadak
Levko Kežman
Maše Selko
Mujaga Škrlec
Ljudovik Melihen
Jacques Dvorani
Najil Poznik
Dražen Ajrizaj
Nico Mikać
Dimitar Smej
Shaip Bušković
Robertino Spaći
Rok Jelenovič
Anel Petrich
Hrabroslav Branković
Giorgio Krstanović
Marko Jožef Peršon
Hajro Sešelj
Gjuro Slavnić
Franc Alojz Lomšek
Đoni Krefelj
Vitja Vergolin
Anton Pavel Majanović
Ragip Šuša
Maksimiljan Janasik
Bartol Ters
Sladjan Blažinčić
Nurija Gradin
Saša Pirec
Mihalj Zmajšek
Imre Ludvik
Demir Zajc
Ljubislav Kamenarič
Irenej Fijačko
Fehrudin Tekstor
Ensar Pusovnik
Edib Gerdina
Kanija Zafuta
Silvio Džuzdanović
Viljem Elshani
Elemer Gošnjak
Ljube Anželj
Helmut Vojevec
Sherif Čučnik
Danislav Grafoner
Dejvid Blanc
Gosto Juričinec
Pejo Mlinarić
Igor Pehnec
Sreto Čivgin
Xiaowei Kurajić
Hajzer Kosor
Janez Marko Trakonja
Karel Dragotin Pančur
Taulant Fischinger
Iso Korenko
Milijan Kušenić
Dragomil Firman
Gradimir Kisovec
Tom Petaci
Edbin Brdnik
Mevludin Kontestabile
Gianfranco Prcić
Hieronim Belec
Maurizio Prošt
Črtomir Ipša
Valter Kretič
Ajdin Hoedl
Mevlid Tominac
Ešref Fattori
Franc Emil Šut
Ešef Čavlović
Voranc Teskač
Ćemal Bolka
Miron Pelkič
Antun Karlo
Mihael Nalič
Šime Lenarčič
Vlado Lapi
Hamzalija Spagnolo
Endre Konte
Senat Ratoša
Orce Polič
Miljan Zaplata
Alojzije Grahonja
Dorjan Neumann
Emin Štifanić
Henrih Hodaj
Osvald Novljan
Fabjo Joksimović
Zlatomir Meglen
Vlado Floyd
Aco Ograjšek
Djego Černota
Berto Blagović
Qerim Pavlas
Tom Šimonović
Tajib Gjureč
Munever Habjančič
Irenej Halili
Sven Farizi
Mersudin Špic
Fausto Bajramovič
Jacques Manxhuka
Senaid Alašević
Bratko Njenjić
Franjo Melnik
Kristijan Aracki
Alojz Ivan Radetič
Zikret Lovše
Arton Samotorčan
Sadik Šamu
Stipe Weber
Vekoslav Heinrih
Milomir Forstnerič
Jožef Dušan Kršinar
Ćazim Črešnjovnjak
Ezio Hirš
Rastislav Peterka
Mavricijo Paher
Nezir Opravš
Mišo Vajs
Nevzat Manasijev
Vidko Biruš
Milan Jožef Hajroska
Nagib Rikić
Blažo Brun
Đoko Dominko
Bojko Korpnik
Angelo Kropec
Alois Jošt
Bernhard Iličić
Marcel Prolić
Kushtrim Bosina
Petre Buč
Argjend Matijovc
Demuš Slameršak
Janez Franc Klajderič
Bashkim Stržinar
Milaim Barešić
Šandor Raškovič
Imran Žabkar
Stanislav Alojz Keserović
Tihomir Fatović
Marko Andrej Čorko
Tobias Ubović
Domine Balde
Adnen Vasilev
Oktavijan Auguštiner
Zlato Kerže
Nedelko Husar
Jeremija Forsthuber
Djego Fetahović
Esmir Ternovšek
Alojzij Janez Vučko
Marij Hadžimuratović
Hasib Čargo
Nijazi Brborović
Osvald Plahutnik
Laren Bremec
Miguel Krajčić
Serhiy Ferk
Reni Trikić
Danilo Stambulić
Dano Brisko
Samid Hristovski
Miladin Hvastija
Jan Luka Nanger
Midhad Perhoč
Julian Cvetnič
Dule Velcl
Denis Belužić
Emrah Casar
Gvido Vitkovič
Moamer Draguljić
Lambert Primik
Nadžip Crnjak
Petru Pavičević
Mauricio Zbodulja
Mirel Slivnjak
Haradin Čepič
Safer Miksić
Zarjo Ilinković
Vane Drinčić
Miloje Roškarić
Petar Sameja
Claudio Jonović
Mirzo Vidovič
Aljaš Bajs
Tomaž Andrej Bratkovič
Gaetano Hudobreznik
Alojzij Dittrich
Mihajel Rajakovič
Vernes Gorenji
Sadik Absec
Memaga Kosirnik
Mane Šager
Vicko Moljk
Kasim Tomšić
Nuran Kurtagić
Frank Šprogar
Stefan Karim
Vaskrsija Štupnikar
Senat Picelj
Emil Franc Olić
Graciano Sterchi
Šekib Vogelnik
Marjan Alojz Klepec
Valdemar Lindič
Nikolčo Sofronievski
Amir Čiča
Nathan Šašić
Besir Blaganje
Anže Šventner
Julius Žolgar
Denis Dolovski
Simeon Prebičnik
Ernesto Jelčič
Javor Lorgar
Dino Bogdanov
Milan Paunovič
Akif Šček
Max Krakow
Vital Kreisdorfer
Žolt Kanc
Stanoja Forić
Emsad Radkovič
Michal Gregurić
Anton Silvester Stanišak
Nel Nemarnik
Janko Faganel
Nuredin Durmishi
Johann Perkovac
Refik Rajhart
Šefik Petavs
Vuk Mošmondor
Amon Pavlinec
Sado Umek Babič
Razim Kostačević
Franc Jožef Egrlić
Borivoje Stipančević
Vincent Rančov
Velko Šerifi
Fatlind Pornat
Miko Slak
Sadik Repac
Henrih Kivač
Adis Bernobić
Veliša Caraku
Vitja Žetko
Edon Šajatovič
Ali Očkerl
Rizo Peterčič
Kosta Hiter
Jorg Mitkov
Hrabroslav Vožič
Rrahim Kališ
Šefko Koncilja
Juso Spremo
Hajdin Koek
Shqipron Grasselli
Julius Ribizel
Džemo Žmajde
Feriz Tinelli
Artan Črnec
Andriy Žuk
Stelio Šubernik
Đurica Ranđelović
Črt Juriševič
Franc Anton Olstrak
Cene Mitič
Baltazar Eržek
Kruno Panger
Stanislav Peter Omerović
Boro Jakoša
Andrei Bobnarič
Ferdo Šerifović
Tiberij Runovc
Elias Sečen
Vahid Ročnik
Djevat Žugič
Vitalij Derenčin
Mičo Zabavnik
Voranc Peitler
Izeir Dovnik
Mitre Brenkuš
Julius Bestjak
Ernad Vresnik
